PG.ProteinAccessions,PG.Genes,[1] HF_RCF20200718_52ITDR_0nM_1.raw.PG.Quantity,[2] HF_RCF20200718_52ITDR_0nM_2.raw.PG.Quantity,[3] HF_RCF20200718_52ITDR_0nM_3.raw.PG.Quantity,[4] HF_RCF20200718_52ITDR_0nM_4.raw.PG.Quantity,[5] HF_RCF20200718_52ITDR_0nM_5.raw.PG.Quantity,[6] HF_RCF20200718_52ITDR_2nM_1.raw.PG.Quantity,[7] HF_RCF20200718_52ITDR_2nM_2.raw.PG.Quantity,[8] HF_RCF20200718_52ITDR_2nM_3.raw.PG.Quantity,[9] HF_RCF20200718_52ITDR_2nM_4.raw.PG.Quantity,[10] HF_RCF20200718_52ITDR_2nM_5.raw.PG.Quantity,[11] HF_RCF20200718_52ITDR_20uM_1.raw.PG.Quantity,[12] HF_RCF20200718_52ITDR_20uM_2.raw.PG.Quantity,[13] HF_RCF20200718_52ITDR_20uM_3.raw.PG.Quantity,[14] HF_RCF20200718_52ITDR_20uM_4.raw.PG.Quantity,[15] HF_RCF20200718_52ITDR_20uM_5.raw.PG.Quantity,[16] HF_RCF20200718_52ITDR_40nM_1.raw.PG.Quantity,[17] HF_RCF20200718_52ITDR_40nM_2.raw.PG.Quantity,[18] HF_RCF20200718_52ITDR_40nM_3.raw.PG.Quantity,[19] HF_RCF20200718_52ITDR_40nM_4.raw.PG.Quantity,[20] HF_RCF20200718_52ITDR_40nM_5.raw.PG.Quantity,[21] HF_RCF20200718_52ITDR_800nM_1.raw.PG.Quantity,[22] HF_RCF20200718_52ITDR_800nM_2.raw.PG.Quantity,[23] HF_RCF20200718_52ITDR_800nM_3.raw.PG.Quantity,[24] HF_RCF20200718_52ITDR_800nM_4.raw.PG.Quantity,[25] HF_RCF20200718_52ITDR_800nM_5.raw.PG.Quantity
Q8NFA0,USP32,14386.27441,12862.85742,9375.53125,16347.26758,14820.64453,13294.27148,12292.29199,12225.00977,12503.37207,11765.5166,11134.33594,14404.13184,10072.93945,14084.4707,11813.66992,17955.93945,10262.4834,13792.81348,11431.23047,12011.56738,9875.620117,17074.32227,17529.4375,12491.29395,13771.40723
Q8NFC6,BOD1L1,72293.65625,58509.67188,70576.79688,72766.8125,76178.14063,74437.0625,76067.79688,71132.59375,71063.03125,85873.23438,71715.375,67202.24219,64846.34375,73361.4375,84431.03906,58892.05469,68034.30469,62151.99609,70101.48438,74845.28125,64336.75781,75087.58594,65529.51172,79234.26563,87426.01563
Q8NFD5,ARID1B,23350.35352,23479.98438,22609.36719,26412.17773,20252.96094,24658.32813,23219.16797,27433.48047,22417.01172,15328.35059,19481.57813,21799.2168,22697.60547,21852.75977,24779.32813,25436.9375,22943.12891,27370.38086,23171.8457,24653.30469,24875.73828,22305.62305,19529.98633,24679.08203,23329.36328
Q8NFF5,FLAD1,48198.85938,29377.14258,45750.1875,47294.9375,39936.95313,43730.16406,51815.00391,46175.42578,46287.64844,39213.00391,51078.39063,49102.12891,36063.51563,25879.26953,45674.58594,51514.63672,31191.65625,32291.68164,37479.51953,42694.75391,50856.92578,47816.24609,39757.28516,41022.65625,55964.5625
Q8NFG4,FLCN,12176.57031,13934.15137,14304.05469,14516.70508,14380.1084,12913.2627,15533.16992,12738.59961,13424.71484,11999.44336,7003.070801,9117.901367,14971.28809,11687.57031,12400.48926,19848.41016,17828.73438,14642.44336,13089.54688,12528.27344,12156.83008,11761.27539,17153.62109,11632.88086,18163.52344
Q8NFH3,NUP43,580398.125,533555.4375,582617.625,546581.3125,568723.25,582835.5,553349.8125,549438.25,533080.6875,592163.5,529235.5,530344.875,564514.6875,562364.75,567470.625,531158.0625,537005.25,552171.375,558063.125,570215.625,557917.1875,589393.8125,525466.125,580021.875,564980.1875
Q8NFH4,NUP37,218672.75,232429.9063,220400.0938,222272.875,211137.5781,222355.3125,210536.2188,225725.7344,213986.4844,213565.0625,220176.5625,216269.4688,222997.5469,225676.75,214633.7344,213581.6719,211382.4375,220627.3438,220282.4531,228851.0625,226832.3438,261004.1875,235362.8281,232072.5938,227503.5938
Q8NFH5,NUP35,12296.46484,15920.08887,15197.63965,24293.4707,26804.33594,20018.07227,24593.16016,27049.88281,41962.47266,27660.32031,8072.652344,23649.8418,26056.76367,23537.23242,26861.42188,17314.33398,25783.76367,23626.69727,26129.33594,31155.18555,24983.25391,14656.54688,21212.13867,27599.36133,28045.47656
Q8NFI3,ENGASE,30269.88086,28568.97852,30021.66211,25502.33008,31422.02539,29808.27734,27776.43945,23806.87891,21370.35156,30145.12305,16328.08789,25454.91797,22582.17773,26940.32813,29145.39063,29737.51953,30841.99219,30516.62305,28748.38477,34006.45313,26650.19141,19530.40039,28148.97852,30406.72266,33254.11328
Q8NFW8,CMAS,124700.0703,120929.4844,130734.7969,122297.2656,120675.8125,120525.3906,132643.1406,127067.8047,128782.4141,122562.9531,121643.7344,121769.5625,119564.5938,126619.2813,138368.9844,154466.2813,125770.2578,118560.2188,118282.9219,120923.7734,127827.2266,106826.3516,122493.6641,118347.9219,126337.6563
